SeriesCode,SeriesName,ProductGroupCode,ProductName,URL
30865,Qi35 MAX,769382,Qi35 MAX ドライバー Diamana Blue TM50,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000076/0000769382/0000769382_01.jpg
31521,XXIO(2026),798599,ゼクシオ 14 ドライバー MP1400カーボン,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000079/0000798599/0000798599_01.jpg
30836,ELYTE X,769331,エリート X ドライバー VENTUS GREEN 5 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000076/0000769331/0000769331_01.jpg
30833,ELYTE,769326,エリート ドライバー VENTUS GREEN 5 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000076/0000769326/0000769326_01.jpg
30863,Qi35,769380,Qi35 ドライバー Diamana SILVER TM55,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000076/0000769380/0000769380_01.jpg
31522,XXIO+(2026),798602,ゼクシオ 14+ ドライバー SPEEDER NX DST for XXIO,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000079/0000798602/0000798602_01.jpg
30834,ELYTE MAX FAST,769335,エリート MAX FAST ドライバー LIN-Q GREEN 40 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000076/0000769335/0000769335_01.jpg
30866,Qi35 MAX LITE,769383,Qi35 MAX LITE ドライバー Air Speeder TM,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000076/0000769383/0000769383_01.jpg
30886,G440 MAX,770442,G440 MAX ドライバー PING TOUR 2.0 CHROME 65／75,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000770442/0000770442_01.jpg
30826,DS-ADAPT X,772984,DS-ADAPT X ドライバー LIN-Q for Cobra,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000772984/0000772984_01.jpg
31110,ELYTE X 10K,784774,エリート X 10Kバージョン ドライバー VENTUS GREEN 5 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000078/0000784774/0000784774_01.jpg
30825,DS-ADAPT MAX-K,772988,DS-ADAPT MAX-K ドライバー Speeder NX for cobra,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000772988/0000772988_01.jpg
29790,XXIO 13(2024),725421,ゼクシオ 13 ドライバー(ネイビー) MP1300カーボン,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000072/0000725421/0000725421_01.jpg
30822,DS-ADAPT LS,772979,DS-ADAPT LS ドライバー LIN-Q for Cobra,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000772979/0000772979_01.jpg
30414,GT2,754660,GT2 ドライバー TENSEI BLUE 1K 55,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000075/0000754660/0000754660_01.jpg
30885,G440 LST,770460,G440 LST ドライバー PING TOUR 2.0 BLACK 65／75,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000770460/0000770460_01.jpg
29980,G430 MAX 10K,731012,G430 MAX 10K ドライバー PING TOUR 2.0 CHROME 65／75,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000073/0000731012/0000731012_01.jpg
31002,ELYTE MINI,779630,エリート MINI ドライバー TENSEI GREEN 60 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000779630/0000779630_01.jpg
30883,G440 HL MAX,770464,G440 HL MAX ドライバー SPEEDER NX GREY 35／40,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000770464/0000770464_01.jpg
29789,XXIO X(2024),725427,ゼクシオ X ドライバー Miyazaki AX-3,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000072/0000725427/0000725427_01.jpg
31528,TOUR WORLD TW777 360Ti,801443,ツアーワールド TW777 360Ti ドライバー VIZARD BLUE 50／60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000080/0000801443/0000801443_01.jpg
30824,DS-ADAPT MAX-D,772993,DS-ADAPT MAX-D ドライバー Speeder NX for cobra,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000772993/0000772993_01.jpg
31091,r7 QUAD MINI,784844,r7 QUAD MINI ドライバー Diamana SILVER TM55 r7QMD,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000078/0000784844/0000784844_01.jpg
30884,G440 HL SFT,770466,G440 HL SFT ドライバー SPEEDER NX GREY 35／40,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000770466/0000770466_01.jpg
31529,TOUR WORLD TW777 MAX,801441,ツアーワールド TW777 MAX ドライバー VIZARD for TW777,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000080/0000801441/0000801441_01.jpg
30837,ELYTE ﾄﾘﾌﾟﾙﾀﾞｲﾔﾓﾝﾄﾞ,772230,エリート ◆◆◆ドライバー TENSEI GREEN 60 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000772230/0000772230_01.jpg
30887,G440 SFT,770448,G440 SFT ドライバー ALTA J CB BLUE,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000077/0000770448/0000770448_01.jpg
31064,VOLTIO NINJA ﾌﾟﾚﾐｱﾑｶｰﾎﾞﾝ II,783982,VOLTIO NINJA プレミアムカーボン II Ti ドライバー TOUR AD VG-02,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000078/0000783982/0000783982_01.jpg
29914,PARADYM Ai SMOKE MAX,801457,パラダイム Ai SMOKE MAX ドライバー(グリップ：ツアーベルベットラバー 360) TENSEI 50 for Callaway,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000080/0000801457/0000801457_01.jpg
31527,TOUR WORLD TW777,801442,ツアーワールド TW777 ドライバー VIZARD BLUE 50／60,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000080/0000801442/0000801442_01.jpg
30415,GT3,754664,GT3 ドライバー TENSEI BLUE 1K 55,https://shop.img.golfdigest.co.jp/gdogolfshop/images/goods/000075/0000754664/0000754664_01.jpg
